name,brand,category,subcategory,drink_family,description,image_url,product_url,price_range,availability_regions,sweetness_score,bitterness_score,acidity_score,body_score,complexity_score,carbonation_score,intensity_score,flavor_tags,occasion_tags,food_pairing_tags,is_active
Negroni,St. Agrestis,RTD Mocktail,Canned Cocktail,Negroni,"Bittersweet non-alcoholic negroni with Tuscan juniper, Sicilian citrus, and floral botanicals. Lightly carbonated with a silky finish.",,https://stagrestis.com/products/phony-negroni,,"{""Wide (US)""}",5,9,5,8,9,6,7,"{""Juniper"",""Citrus"",""Floral"",""Herbal""}","{""Aperitivo Hour"",""Happy Hour"",""Dinner Party""}","{""Charcuterie"",""Aged Cheese"",""Orange Peel""}",true
Espresso Cocktail,St. Agrestis,RTD Mocktail,Canned Cocktail,Coffee Cocktail,Rich non-alcoholic espresso negroni combining cold brew coffee with bitter aperitif botanicals and vanilla. Smooth with a velvety mouthfeel.,,https://stagrestis.com/products/phony-espresso-negroni,,"{""Wide (US)""}",5,5,3,8,9,6,6,"{""Espresso"",""Coffee"",""Vanilla"",""Cocoa"",""Herbal""}","{""After Dinner"",""Nightcap""}","{""Dark Chocolate"",""Tiramisu"",""Vanilla Gelato""}",true
Negroni,St. Agrestis,RTD Mocktail,Canned Cocktail,Negroni,"Smoky non-alcoholic mezcal-style negroni with vegetal complexity and earthy agave notes. Made with 30 botanicals, double gold medal winner.",,https://stagrestis.com/products/phony-mezcal-negroni,,"{""Wide (US)""}",3,9,5,8,9,6,7,"{""Smoke"",""Citrus"",""Gentian"",""Earthy"",""Herbal""}","{""Aperitivo Hour"",""Happy Hour""}","{""Grilled Vegetables"",""Smoked Cheese"",""Dark Chocolate""}",true
Negroni,St. Agrestis,RTD Mocktail,Canned Cocktail,Negroni,Bright clarified non-alcoholic white negroni driven by amplified gentian root and citrus. Champagne-like clarity with bitter backbone.,,https://stagrestis.com/products/phony-white-negroni,,"{""Wide (US)""}",3,9,9,3,9,6,6,"{""Gentian"",""Citrus"",""Floral"",""Herbal""}","{""Celebration"",""Brunch"",""Aperitivo Hour""}","{""Seafood"",""Light Appetizers"",""Citrus Desserts""}",true
Amaro Falso,St. Agrestis,Aperitif,Bitter Aperitif,Aperitif,"Complex non-alcoholic amaro with layered herbal bitterness, gentian, and Sicilian citrus. Sip neat or over ice as a digestivo.",,https://stagrestis.com/products/amaro-falso,,"{""Wide (US)""}",5,10,3,5,10,2,6,"{""Gentian"",""Herbal"",""Citrus"",""Spice""}","{""After Dinner"",""Digestivo""}","{""Dark Chocolate"",""Aged Cheese"",""Nuts""}",true
Negroni,St. Agrestis,RTD Mocktail,Canned Cocktail,Negroni,Limited release citrus-forward non-alcoholic negroni with bright lemon notes and the signature 30-botanical base. Crisp and refreshing.,,https://stagrestis.com/products/phony-limone-negroni,,"{""Limited""}",5,5,9,5,9,6,7,"{""Lemon"",""Citrus"",""Juniper"",""Floral""}","{""Summer"",""Brunch"",""Aperitivo Hour""}","{""Light Salads"",""Seafood"",""Citrus Tarts""}",true
Aperitivo,Ghia,Aperitif,Aperitivo,Aperitif,"Complex non-alcoholic aperitif with bitter herbal notes, yuzu, ginger, and elderflower. Inspired by Mediterranean aperitivo culture.",,https://drinkghia.com/,,"{""Wide (US)""}",3,9,9,5,10,2,6,"{""Yuzu"",""Ginger"",""Elderflower"",""Gentian"",""Herbal""}","{""Aperitivo Hour"",""Dinner Party""}","{""Pasta"",""Antipasto"",""Citrus Desserts""}",true
Spritz,Ghia,Sparkling,Spritz,Spritz,Bursting non-alcoholic spritz with orange blossom and strawberry flavors. Effervescent with a soft creamy mouthfeel like sparkling rosé.,,https://drinkghia.com/products/le-fizz,,"{""Wide (US)""}",5,3,5,5,5,9,5,"{""Strawberry"",""Orange Blossom"",""Floral"",""Bubbly""}","{""Celebration"",""Brunch"",""Dinner Party""}","{""Fruit Tarts"",""Soft Cheese"",""Light Appetizers""}",true
Spritz,Ghia,Sparkling,Spritz,Spritz,Bright refreshing non-alcoholic spritz with blood orange and a whisper of marjoram. Softer and less bitter than original Ghia.,,https://drinkghia.com/products/le-spritz-blood-orange,,"{""Wide (US)""}",5,3,5,3,5,9,5,"{""Blood Orange"",""Marjoram"",""Citrus"",""Floral""}","{""Summer"",""Brunch"",""Picnic""}","{""Grilled Fish"",""Citrus Salad"",""Goat Cheese""}",true
Spritz,Ghia,Sparkling,Spritz,Spritz,Salty tangy non-alcoholic spritz with lime and sea salt. Like a dip in the Mediterranean with bright citrus and mineral finish.,,https://drinkghia.com/products/le-spritz-lime-salt,,"{""Wide (US)""}",3,5,9,3,5,9,6,"{""Lime"",""Sea Salt"",""Citrus"",""Herbal""}","{""Beach"",""Picnic"",""Summer""}","{""Tacos"",""Ceviche"",""Grilled Vegetables""}",true
